case_id;cnpj_sintetico;razao_social_sintetica;regiao_administrativa;endereco_declarado;endereco_referencia;status_declarado;status_referencia;valor_declarado;valor_referencia;tipo_cenario;evidencia_status;evidencia_endereco;evidencia_valor;severidade;ground_truth_inconsistencia
CASE-0001;SYN-CNPJ-000001;Empresa Sintética 0001;Plano Piloto;Setor Sintético Divergente, Q02, L002, Plano Piloto, DF;Setor Sintético B, Q02, L002, Plano Piloto, DF;ATIVA;ATIVA;6499.85;6499.85;territorial;0;1;0;media;1
CASE-0002;SYN-CNPJ-000002;Empresa Sintética 0002;Taguatinga;Setor Sintético C, Q03, L003, Taguatinga, DF;Setor Sintético C, Q03, L003, Taguatinga, DF;ATIVA;ATIVA;14967.07;14967.07;consistente;0;0;0;nenhuma;0
CASE-0003;SYN-CNPJ-000003;Empresa Sintética 0003;Taguatinga;Setor Sintético D, Q04, L004, Taguatinga, DF;Setor Sintético D, Q04, L004, Taguatinga, DF;ATIVA;ATIVA;6200.19;6200.19;consistente;0;0;0;nenhuma;0
CASE-0004;SYN-CNPJ-000004;Empresa Sintética 0004;Águas Claras;Setor Sintético Divergente, Q05, L005, Águas Claras, DF;Setor Sintético E, Q05, L005, Águas Claras, DF;BAIXADA;BAIXADA;5900.8;5900.8;territorial;0;1;0;media;1
CASE-0005;SYN-CNPJ-000005;Empresa Sintética 0005;Plano Piloto;Setor Sintético Divergente, Q06, L006, Plano Piloto, DF;Setor Sintético F, Q06, L006, Plano Piloto, DF;ATIVA;ATIVA;17604.42;17604.42;territorial;0;1;0;media;1
CASE-0006;SYN-CNPJ-000006;Empresa Sintética 0006;Ceilândia;Setor Sintético A, Q07, L007, Ceilândia, DF;Setor Sintético A, Q07, L007, Ceilândia, DF;ATIVA;ATIVA;23951.72;23951.72;consistente;0;0;0;nenhuma;0
CASE-0007;SYN-CNPJ-000007;Empresa Sintética 0007;Taguatinga;Setor Sintético B, Q08, L008, Taguatinga, DF;Setor Sintético B, Q08, L008, Taguatinga, DF;BAIXADA;BAIXADA;2869.55;2869.55;consistente;0;0;0;nenhuma;0
CASE-0008;SYN-CNPJ-000008;Empresa Sintética 0008;Guará;Setor Sintético Divergente, Q09, L009, Guará, DF;Setor Sintético C, Q09, L009, Guará, DF;BAIXADA;ATIVA;11027.06;18378.43;multiplas;1;1;1;alta;1
CASE-0009;SYN-CNPJ-000009;Empresa Sintética 0009;Gama;Setor Sintético D, Q10, L010, Gama, DF;Setor Sintético D, Q10, L010, Gama, DF;ATIVA;ATIVA;14025.47;14025.0;ambiguo;0;0;0;baixa;0
CASE-0010;SYN-CNPJ-000010;Empresa Sintética 0010;Águas Claras;Setor Sintético Divergente, Q11, L011, Águas Claras, DF;Setor Sintético E, Q11, L011, Águas Claras, DF;BAIXADA;ATIVA;973.62;1622.7;multiplas;1;1;1;alta;1
CASE-0011;SYN-CNPJ-000011;Empresa Sintética 0011;Taguatinga;Setor Sintético F, Q12, L012, Taguatinga, DF;Setor Sintético F, Q12, L012, Taguatinga, DF;ATIVA;ATIVA;30420.39;21728.85;valor;0;0;1;media;1
CASE-0012;SYN-CNPJ-000012;Empresa Sintética 0012;Samambaia;Setor Sintético A, Q13, L013, Samambaia, DF;Setor Sintético A, Q13, L013, Samambaia, DF;ATIVA;ATIVA;9569.43;9569.43;consistente;0;0;0;nenhuma;0
CASE-0013;SYN-CNPJ-000013;Empresa Sintética 0013;Guará;Setor Sintético B, Q14, L014, Guará, DF;Setor Sintético B, Q14, L014, Guará, DF;ATIVA;ATIVA;15423.71;15423.71;consistente;0;0;0;nenhuma;0
CASE-0014;SYN-CNPJ-000014;Empresa Sintética 0014;Águas Claras;Setor Sintético C, Q15, L015, Águas Claras, DF;Setor Sintético C, Q15, L015, Águas Claras, DF;ATIVA;ATIVA;11825.38;11825.38;consistente;0;0;0;nenhuma;0
CASE-0015;SYN-CNPJ-000015;Empresa Sintética 0015;Águas Claras;Setor Sintético D, Q16, L016, Águas Claras, DF;Setor Sintético D, Q16, L016, Águas Claras, DF;ATIVA;ATIVA;21149.87;21149.87;consistente;0;0;0;nenhuma;0
CASE-0016;SYN-CNPJ-000016;Empresa Sintética 0016;Águas Claras;Setor Sintético E, Q17, L017, Águas Claras, DF;Setor Sintético E, Q17, L017, Águas Claras, DF;ATIVA;ATIVA;28313.07;20223.62;valor;0;0;1;media;1
CASE-0017;SYN-CNPJ-000017;Empresa Sintética 0017;Águas Claras;Setor Sintético F, Q18, L018, Águas Claras, DF;Setor Sintético F, Q18, L018, Águas Claras, DF;ATIVA;ATIVA;5709.35;5709.35;consistente;0;0;0;nenhuma;0
CASE-0018;SYN-CNPJ-000018;Empresa Sintética 0018;Sobradinho;Setor Sintético A, Q19, L019, Sobradinho, DF;Setor Sintético A, Q19, L019, Sobradinho, DF;BAIXADA;ATIVA;6989.56;6989.56;cadastral;1;0;0;media;1
CASE-0019;SYN-CNPJ-000019;Empresa Sintética 0019;Guará;Setor Sintético B, Q20, L020, Guará, DF;Setor Sintético B, Q20, L020, Guará, DF;BAIXADA;BAIXADA;22496.66;22496.66;consistente;0;0;0;nenhuma;0
CASE-0020;SYN-CNPJ-000020;Empresa Sintética 0020;Águas Claras;Setor Sintético C, Q21, L021, Águas Claras, DF;Setor Sintético C, Q21, L021, Águas Claras, DF;ATIVA;ATIVA;12983.39;12983.39;consistente;0;0;0;nenhuma;0
CASE-0021;SYN-CNPJ-000021;Empresa Sintética 0021;Plano Piloto;Setor Sintético D, Q22, L022, Plano Piloto, DF;Setor Sintético D, Q22, L022, Plano Piloto, DF;ATIVA;ATIVA;4244.61;4244.61;consistente;0;0;0;nenhuma;0
CASE-0022;SYN-CNPJ-000022;Empresa Sintética 0022;Gama;Setor Sintético E, Q23, L023, Gama, DF;Setor Sintético E, Q23, L023, Gama, DF;ATIVA;ATIVA;9926.8;9926.8;consistente;0;0;0;nenhuma;0
CASE-0023;SYN-CNPJ-000023;Empresa Sintética 0023;Sobradinho;Setor Sintético Divergente, Q24, L024, Sobradinho, DF;Setor Sintético F, Q24, L024, Sobradinho, DF;ATIVA;ATIVA;24291.42;24291.42;territorial;0;1;0;media;1
CASE-0024;SYN-CNPJ-000024;Empresa Sintética 0024;Plano Piloto;Setor Sintético Divergente, Q25, L025, Plano Piloto, DF;Setor Sintético A, Q25, L025, Plano Piloto, DF;BAIXADA;ATIVA;24942.76;17201.9;multiplas;1;1;1;alta;1
CASE-0025;SYN-CNPJ-000025;Empresa Sintética 0025;Samambaia;Setor Sintético B, Q26, L026, Samambaia, DF;Setor Sintético B, Q26, L026, Samambaia, DF;ATIVA;ATIVA;5768.06;7690.75;valor;0;0;1;media;1
CASE-0026;SYN-CNPJ-000026;Empresa Sintética 0026;Guará;Setor Sintético C, Q27, L027, Guará, DF;Setor Sintético C, Q27, L027, Guará, DF;BAIXADA;ATIVA;12938.2;12938.2;cadastral;1;0;0;media;1
CASE-0027;SYN-CNPJ-000027;Empresa Sintética 0027;Guará;Setor Sintético D, Q28, L028, Guará, DF;Setor Sintético D, Q28, L028, Guará, DF;ATIVA;ATIVA;4244.56;4244.56;consistente;0;0;0;nenhuma;0
CASE-0028;SYN-CNPJ-000028;Empresa Sintética 0028;Plano Piloto;Setor Sintético E, Q29, L029, Plano Piloto, DF;Setor Sintético E, Q29, L029, Plano Piloto, DF;ATIVA;ATIVA;8106.05;12470.84;valor;0;0;1;media;1
CASE-0029;SYN-CNPJ-000029;Empresa Sintética 0029;Guará;Setor Sintético F, Q30, L030, Guará, DF;Setor Sintético F, Q30, L030, Guará, DF;ATIVA;ATIVA;1920.96;1919.17;ambiguo;0;0;0;baixa;0
CASE-0030;SYN-CNPJ-000030;Empresa Sintética 0030;Sobradinho;Setor Sintético A, Q01, L031, Sobradinho, DF;Setor Sintético A, Q01, L031, Sobradinho, DF;ATIVA;ATIVA;24460.62;24460.62;consistente;0;0;0;nenhuma;0
CASE-0031;SYN-CNPJ-000031;Empresa Sintética 0031;Ceilândia;Setor Sintético B, Q02, L032, Ceilândia, DF;Setor Sintético B, Q02, L032, Ceilândia, DF;BAIXADA;ATIVA;16663.9;16663.9;cadastral;1;0;0;media;1
CASE-0032;SYN-CNPJ-000032;Empresa Sintética 0032;Ceilândia;Setor Sintético C, Q03, L033, Ceilândia, DF;Setor Sintético C, Q03, L033, Ceilândia, DF;ATIVA;ATIVA;13429.87;13428.01;ambiguo;0;0;0;baixa;0
