case_id;regiao_administrativa;cobertura_cadastral;evidencia_status;evidencia_endereco;evidencia_valor;n_evidencias;fraude_latente
CASE-00001;Sobradinho;0.70;0;0;0;0;0
CASE-00002;Águas Claras;0.94;1;0;1;2;1
CASE-00003;Águas Claras;0.94;0;0;0;0;0
CASE-00004;Taguatinga;0.84;0;1;0;1;0
CASE-00005;Sobradinho;0.70;0;0;0;0;0
CASE-00006;Gama;0.76;0;0;0;0;0
CASE-00007;Gama;0.76;0;0;0;0;0
CASE-00008;Taguatinga;0.84;1;1;1;3;1
CASE-00009;Ceilândia;0.55;0;1;0;1;0
CASE-00010;Taguatinga;0.84;0;0;0;0;0
CASE-00011;Guará;0.90;0;0;0;0;0
CASE-00012;Taguatinga;0.84;0;1;0;1;0
CASE-00013;Taguatinga;0.84;0;1;0;1;0
CASE-00014;Samambaia;0.62;0;1;0;1;0
CASE-00015;Sobradinho;0.70;1;0;0;1;0
CASE-00016;Samambaia;0.62;0;1;0;1;0
CASE-00017;Águas Claras;0.94;1;0;0;1;0
CASE-00018;Sobradinho;0.70;0;0;0;0;0
CASE-00019;Samambaia;0.62;0;1;0;1;0
CASE-00020;Ceilândia;0.55;0;0;1;1;1
CASE-00021;Taguatinga;0.84;1;0;0;1;0
CASE-00022;Guará;0.90;0;1;0;1;0
CASE-00023;Samambaia;0.62;1;1;1;3;0
CASE-00024;Taguatinga;0.84;0;1;0;1;0
CASE-00025;Taguatinga;0.84;0;0;0;0;0
CASE-00026;Águas Claras;0.94;0;0;0;0;0
CASE-00027;Gama;0.76;0;0;0;0;0
CASE-00028;Guará;0.90;1;1;0;2;0
CASE-00029;Águas Claras;0.94;0;0;0;0;0
CASE-00030;Gama;0.76;0;0;0;0;0
CASE-00031;Samambaia;0.62;1;0;0;1;0
CASE-00032;Ceilândia;0.55;0;0;1;1;0
CASE-00033;Samambaia;0.62;0;0;0;0;0
CASE-00034;Sobradinho;0.70;0;1;0;1;0
CASE-00035;Gama;0.76;0;0;0;0;0
CASE-00036;Plano Piloto;0.97;0;1;0;1;1
CASE-00037;Samambaia;0.62;1;0;0;1;0
CASE-00038;Samambaia;0.62;0;0;0;0;0
CASE-00039;Águas Claras;0.94;0;0;0;0;0
CASE-00040;Gama;0.76;1;0;0;1;0
