f_base,beta,pi,corr_B,corr_A,corr_C,amplitude_B,amplitude_A
0.07,0.25,0.05,-0.5868,-0.9521,-0.9828,0.065070,0.010563
0.07,0.25,0.1,-0.6667,-0.9768,-0.8246,0.068203,0.013728
0.07,0.25,0.15,0.8147,-0.9940,-0.9755,0.015144,0.008518
0.07,0.25,0.25,0.4417,-0.6210,-0.9187,0.010229,0.001796
0.07,0.4,0.05,-0.7068,-0.9779,-0.9739,0.070743,0.015659
0.07,0.4,0.1,-0.8443,-0.9925,-0.8440,0.061036,0.022147
0.07,0.4,0.15,0.7793,-0.9925,-0.9946,0.018239,0.013047
0.07,0.4,0.25,-0.0435,-0.6165,-0.8249,0.006380,0.001863
0.07,0.55,0.05,-0.9268,-0.9900,-0.9745,0.109303,0.021858
0.07,0.55,0.1,-0.9700,-0.9958,-0.9675,0.042265,0.030936
0.07,0.55,0.15,0.7405,-0.9888,-0.9879,0.021598,0.016844
0.07,0.55,0.25,-0.2456,-0.6540,-0.8057,0.004620,0.001863
0.07,0.7,0.05,-0.9694,-0.9917,-0.9776,0.120930,0.028662
0.07,0.7,0.1,-0.9627,-0.9981,-0.9930,0.031477,0.037825
0.07,0.7,0.15,0.7180,-0.9929,-0.9704,0.024660,0.020202
0.07,0.7,0.25,-0.2174,-0.6708,-0.8114,0.004852,0.001863
0.16,0.25,0.05,0.5537,-0.9974,-0.9736,0.026275,0.026331
0.16,0.25,0.1,0.6917,-0.9955,-0.9879,0.046714,0.018309
0.16,0.25,0.15,0.8327,-0.9938,-0.9896,0.025205,0.018445
0.16,0.25,0.25,0.8856,-0.9843,-0.9333,0.023879,0.009374
0.16,0.4,0.05,0.5941,-0.9989,-0.9899,0.058004,0.035471
0.16,0.4,0.1,0.9314,-0.9933,-0.9900,0.052873,0.021175
0.16,0.4,0.15,0.7995,-0.9901,-0.9842,0.027709,0.010027
0.16,0.4,0.25,0.3761,-0.9333,-0.8677,0.023772,0.002761
0.16,0.55,0.05,0.6333,-0.9990,-0.9899,0.077226,0.043304
0.16,0.55,0.1,0.9187,-0.9980,-0.9775,0.056224,0.025368
0.16,0.55,0.15,0.8012,-0.9919,-0.9455,0.027425,0.012441
0.16,0.55,0.25,-0.0765,-0.9450,-0.8364,0.024126,0.003433
0.16,0.7,0.05,0.6429,-0.9988,-0.9738,0.082028,0.049840
0.16,0.7,0.1,0.9017,-0.9972,-0.9303,0.059007,0.029189
0.16,0.7,0.15,0.8003,-0.9932,-0.8664,0.029124,0.014407
0.16,0.7,0.25,-0.5371,-0.9623,-0.9081,0.023808,0.003967
0.28,0.25,0.05,0.8133,-0.9976,-0.9807,0.105827,0.029447
0.28,0.25,0.1,0.8032,-0.9972,-0.9713,0.064907,0.024457
0.28,0.25,0.15,0.8690,-0.9994,-0.9338,0.054934,0.019589
0.28,0.25,0.25,0.4325,-0.9949,-0.8224,0.054653,0.012135
0.28,0.4,0.05,0.4604,-0.9991,-0.9587,0.108121,0.041843
0.28,0.4,0.1,0.2484,-0.9994,-0.9207,0.055255,0.035424
0.28,0.4,0.15,0.4446,-0.9997,-0.8535,0.058746,0.029200
0.28,0.4,0.25,0.2537,-0.9991,-0.7875,0.051415,0.018780
0.28,0.55,0.05,0.3249,-0.9362,-0.9415,0.105137,0.008034
0.28,0.55,0.1,0.0474,-0.9559,-0.9003,0.060458,0.007752
0.28,0.55,0.15,-0.0979,-0.9814,-0.8606,0.054958,0.011282
0.28,0.55,0.25,-0.7804,-0.9962,-0.8587,0.055471,0.017410
0.28,0.7,0.05,0.6343,-0.9481,-0.9189,0.017364,0.008484
0.28,0.7,0.1,-0.2558,-0.9609,-0.9112,0.057851,0.008945
0.28,0.7,0.15,-0.4876,-0.9887,-0.8259,0.055087,0.014136
0.28,0.7,0.25,-0.9063,-0.9966,-0.9075,0.053886,0.022349
