ra,cobertura,RULE_OR,RULE_CNT,LOOKUP,A,B,C
Plano Piloto,0.97,0.072848,0.028739,0.032381,0.032996,0.050882,0.004604
Águas Claras,0.94,0.076308,0.030213,0.034249,0.034013,0.052116,0.004726
Guará,0.9,0.079035,0.033979,0.034129,0.034405,0.053287,0.014623
Taguatinga,0.84,0.084126,0.037484,0.036309,0.036724,0.026115,0.026115
Gama,0.76,0.090799,0.044058,0.037701,0.037935,0.025862,0.025862
Sobradinho,0.7,0.093038,0.046022,0.040408,0.041574,0.026397,0.056169
Samambaia,0.62,0.098811,0.051248,0.042821,0.042731,0.025870,0.075558
Ceilândia,0.55,0.109032,0.055797,0.046588,0.045437,0.027151,0.126010
"corr(cobertura, FPR)",,-0.9927,-0.9975,-0.9875,-0.9919,0.8012,-0.9455
amplitude (max-min),,0.036184,0.027058,0.014207,0.012441,0.027425,0.121406
